country_a,country_b,profile_r_a,profile_r_b,within_r_a,within_r_b,profile_gap,within_gap,severity
GR,IL,0.7679404907030946,0.7548493557251168,0.0215528392495417,0.0773792754789644,0.013091134977977759,-0.055826436229422696,0.0007308314120188402
GB,LV,0.8197768716174378,0.7597205566273624,0.0219170857244814,0.0330297925239352,0.060056314990075466,-0.011112706799453802,0.0006673882199403509
IS,NO,0.8544743279425585,0.8906927910475326,0.0359305908028919,0.0177433721476182,-0.03621846310497412,0.018187218655273698,0.0006587131078481275
CH,GB,0.9051582931790576,0.8197768716174378,0.0142840839509112,0.0219170857244814,0.08538142156161976,-0.007633001773570201,0.0006517165422097887
BE,CH,0.8508384950701526,0.9051582931790576,0.0262566106310072,0.0142840839509112,-0.05431979810890497,0.011972526680096001,0.0006503452321162931
FI,SK,0.910711852834848,0.8265866004521504,0.0321216874233562,0.0398486889084511,0.08412525238269764,-0.007727001485094899,0.0006500359500950878
IE,LT,0.8935144552479544,0.8626392872316171,0.0231370742572151,0.0439121074466539,0.030875168016337273,-0.0207750331894388,0.0006414326402689062
PL,UA,0.8374900952904407,0.7500397363579364,0.0176441899044248,0.024902889710967,0.0874503589325043,-0.0072586998065422015,0.0006347759034654151
PL,PT,0.8374900952904407,0.8007374572286252,0.0176441899044248,0.0348567735362287,0.0367526380618155,-0.0172125836318039,0.0006326078563284185
NL,SK,0.873628791112841,0.8265866004521504,0.0265766906080034,0.0398486889084511,0.0470421906606906,-0.013271998300447698,0.0006243438744980221
CH,FR,0.9051582931790576,0.7989817384900312,0.0142840839509112,0.0201284951039494,0.10617655468902643,-0.005844411153038201,0.0006205394404157165
BE,LV,0.8508384950701526,0.7597205566273624,0.0262566106310072,0.0330297925239352,0.09111793844279026,-0.006773181892928002,0.0006171583707816352
CY,IT,0.7870157211406633,0.8641004530725265,0.0444938149589886,0.036549367447733,-0.07708473193186316,0.0079444475112556,0.0006123956067518954
ES,PT,0.8290401786416228,0.8007374572286252,0.0134509102990582,0.0348567735362287,0.02830272141299761,-0.021405863237170503,0.0006058441838063639
HR,UA,0.7946389946133416,0.7500397363579364,0.0113382042255806,0.024902889710967,0.04459925825540523,-0.013564685485386401,0.0006049749111160949
NL,PT,0.873628791112841,0.8007374572286252,0.0265766906080034,0.0348567735362287,0.07289133388421576,-0.0082800829282253,0.0006035462893102652
ES,HU,0.8290401786416228,0.7798983692020902,0.0134509102990582,0.0255763780342704,0.04914180943953261,-0.0121254677352122,0.000595867424808999
CY,IS,0.7870157211406633,0.8544743279425585,0.0444938149589886,0.0359305908028919,-0.0674586068018952,0.008563224156096706,0.0005776631713026185
FI,LT,0.910711852834848,0.8626392872316171,0.0321216874233562,0.0439121074466539,0.04807256560323092,-0.0117904200232977,0.0005667957400596261
EE,NL,0.843115145117026,0.873628791112841,0.0448385177503157,0.0265766906080034,-0.030513645995814964,0.0182618271423123,0.0005572349286572827
PT,SE,0.8007374572286252,0.8585370051014429,0.0348567735362287,0.0254155745113755,-0.057799547872817714,0.0094411990248532,0.0005456970350138024
ME,SK,0.8451443676693915,0.8265866004521504,0.0109959217807353,0.0398486889084511,0.018557767217241117,-0.028852767127715798,0.0005354429359294163
BG,LT,0.6854503192912444,0.8626392872316171,0.0468655160241971,0.0439121074466539,-0.17718896794037264,0.0029534085775431984,0.0005233114177611234
FR,SI,0.7989817384900312,0.8574021817056523,0.0201284951039494,0.0112352493302409,-0.05842044321562112,0.008893245773708501,0.0005195473597255
CH,SE,0.9051582931790576,0.8585370051014429,0.0142840839509112,0.0254155745113755,0.046621288077614675,-0.0111314905604643,0.0005189644281526546
FR,LV,0.7989817384900312,0.7597205566273624,0.0201284951039494,0.0330297925239352,0.039261181862668804,-0.012901297419985802,0.0005065201842704424
IT,NO,0.8641004530725265,0.8906927910475326,0.036549367447733,0.0177433721476182,-0.026592337975006153,0.018805995300114803,0.0005000953829770301
IE,IS,0.8935144552479544,0.8544743279425585,0.0231370742572151,0.0359305908028919,0.039040127305395855,-0.012793516545676797,0.0004994605146269104
ES,GR,0.8290401786416228,0.7679404907030946,0.0134509102990582,0.0215528392495417,0.06109968793852827,-0.0081019289504835,0.0004950253305746697
EE,SI,0.843115145117026,0.8574021817056523,0.0448385177503157,0.0112352493302409,-0.01428703658862629,0.0336032684200748,0.000480091125415039
GR,NO,0.7679404907030946,0.8906927910475326,0.0215528392495417,0.0177433721476182,-0.12275230034443807,0.0038094671019235013,0.00046762084984756973
SE,SK,0.8585370051014429,0.8265866004521504,0.0254155745113755,0.0398486889084511,0.03195040464929255,-0.014433114397075598,0.00046114384533609546
HU,PL,0.7798983692020902,0.8374900952904407,0.0255763780342704,0.0176441899044248,-0.0575917260883505,0.0079321881298456,0.00045682840605533296
BE,PT,0.8508384950701526,0.8007374572286252,0.0262566106310072,0.0348567735362287,0.05010103784152742,-0.0086001629052215,0.00043087708715780276
FR,ME,0.7989817384900312,0.8451443676693915,0.0201284951039494,0.0109959217807353,-0.046162629179360315,0.009132573323214101,0.00042158359577285087
AT,LT,0.8823730677705127,0.8626392872316171,0.0226218363036761,0.0439121074466539,0.01973378053889563,-0.0212902711429778,0.0004201375383491065
GB,SI,0.8197768716174378,0.8574021817056523,0.0219170857244814,0.0112352493302409,-0.03762531008821446,0.010681836394240501,0.0004019074066448735
